UNIT PROCEDURE,SAMPLING POINT,PARAMETER NAME,PARAMETER DETAIL,RUN NUMBER,BATCH NUMBER,DATE OF MANUFACTURE,PROCESS START,PARAMETER DATE,LOCAL ID,VALUE_TEXT(Reported),VALUE_NUM(Recorded Full precision),UOM,LAL,UAL,LCL,UCL,LRL,URL,CL,NEL 1,NEL 2,NEL 3,NEL 4,PPK,REP,CONTROL_PRECISION,ACTION_PRECISION,REJECTION_PRECISION,SCALE,SUMMARY TABLE,DISPOSITION_DATE,RESULT_TYPE,SOURCE_SYSTEM,CTRL_VIOLATION,ACTION_VIOLATION,REJ_VIOLATION
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000616,0010378271,0010378271-PRDS-000616,2018/03/30 00:00:00,2018/03/30 00:00:00,2018/03/30 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010376515,0010376515-PRDS-000745,2018/04/03 00:00:00,2018/04/03 00:00:00,2018/04/03 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010376522,0010376522-PRDS-000745,2018/05/15 00:00:00,2018/05/15 00:00:00,2018/05/15 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010392291,0010392291-PRDS-000745,2018/05/22 00:00:00,2018/05/22 00:00:00,2018/05/22 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000616,0010392296,0010392296-PRDS-000616,2018/05/25 00:00:00,2018/05/25 00:00:00,2018/05/25 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010397175,0010397175-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010408213,0010408213-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010404297,0010404297-PRDS-000745,2018/07/18 00:00:00,2018/07/18 00:00:00,2018/07/18 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010408402,0010408402-PRDS-000745,2018/07/24 00:00:00,2018/07/24 00:00:00,2018/07/24 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010409909,0010409909-PRDS-000745,2018/08/21 00:00:00,2018/08/21 00:00:00,2018/08/21 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Appearance Recon,PRDS-000745,0010413834,0010413834-PRDS-000745,2018/08/23 00:00:00,2018/08/23 00:00:00,2018/08/23 00:00:00,.,Pass,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010147538,0010147538-PRDS-000745,2012/10/17 00:00:00,2012/10/17 00:00:00,2012/10/17 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010147537,0010147537-PRDS-000745,2012/10/17 00:00:00,2012/10/17 00:00:00,2012/10/17 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010147840,0010147840-PRDS-000616,2012/10/19 00:00:00,2012/10/19 00:00:00,2012/10/19 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010147841,0010147841-PRDS-000616,2012/10/19 00:00:00,2012/10/19 00:00:00,2012/10/19 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150547,0010150547-PRDS-000745,2012/11/27 00:00:00,2012/11/27 00:00:00,2012/11/27 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150546,0010150546-PRDS-000745,2012/11/27 00:00:00,2012/11/27 00:00:00,2012/11/27 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150549,0010150549-PRDS-000745,2012/12/04 00:00:00,2012/12/04 00:00:00,2012/12/04 00:00:00,.,0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150548,0010150548-PRDS-000745,2012/12/04 00:00:00,2012/12/04 00:00:00,2012/12/04 00:00:00,.,0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150551,0010150551-PRDS-000745,2012/12/07 00:00:00,2012/12/07 00:00:00,2012/12/07 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150550,0010150550-PRDS-000745,2012/12/07 00:00:00,2012/12/07 00:00:00,2012/12/07 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010150552,0010150552-PRDS-000745,2012/12/12 00:00:00,2012/12/12 00:00:00,2012/12/12 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010254676,0010254676-PRDS-000745,2015/08/21 00:00:00,2015/08/21 00:00:00,2015/08/21 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010267008,0010267008-PRDS-000745,2015/11/11 00:00:00,2015/11/11 00:00:00,2015/11/11 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010267863,0010267863-PRDS-000745,2015/11/17 00:00:00,2015/11/17 00:00:00,2015/11/17 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010266787,0010266787-PRDS-000745,2015/12/15 00:00:00,2015/12/15 00:00:00,2015/12/15 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010275388,0010275388-PRDS-000616,2016/02/10 00:00:00,2016/02/10 00:00:00,2016/02/10 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010281727,0010281727-PRDS-000616,2016/03/03 00:00:00,2016/03/03 00:00:00,2016/03/03 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010275389,0010275389-PRDS-000616,2016/03/08 00:00:00,2016/03/08 00:00:00,2016/03/08 00:00:00,.,<0.4,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010343353,0010343353-PRDS-000745,2017/08/10 00:00:00,2017/08/10 00:00:00,2017/08/10 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010343359,0010343359-PRDS-000745,2017/08/17 00:00:00,2017/08/17 00:00:00,2017/08/17 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010343362,0010343362-PRDS-000745,2017/08/22 00:00:00,2017/08/22 00:00:00,2017/08/22 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010344654,0010344654-PRDS-000745,2017/08/24 00:00:00,2017/08/24 00:00:00,2017/08/24 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010347552,0010347552-PRDS-000745,2017/11/02 00:00:00,2017/11/02 00:00:00,2017/11/02 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010358270,0010358270-PRDS-000745,2017/11/07 00:00:00,2017/11/07 00:00:00,2017/11/07 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010364494,0010364494-PRDS-000616,2018/01/27 00:00:00,2018/01/27 00:00:00,2018/01/27 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010365297,0010365297-PRDS-000616,2018/01/31 00:00:00,2018/01/31 00:00:00,2018/01/31 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010365300,0010365300-PRDS-000616,2018/02/02 00:00:00,2018/02/02 00:00:00,2018/02/02 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010367213,0010367213-PRDS-000745,2018/02/20 00:00:00,2018/02/20 00:00:00,2018/02/20 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010370497,0010370497-PRDS-000745,2018/02/27 00:00:00,2018/02/27 00:00:00,2018/02/27 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010371255,0010371255-PRDS-000745,2018/03/01 00:00:00,2018/03/01 00:00:00,2018/03/01 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010373044,0010373044-PRDS-000745,2018/03/07 00:00:00,2018/03/07 00:00:00,2018/03/07 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010373630,0010373630-PRDS-000745,2018/03/13 00:00:00,2018/03/13 00:00:00,2018/03/13 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010378271,0010378271-PRDS-000616,2018/03/30 00:00:00,2018/03/30 00:00:00,2018/03/30 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010376515,0010376515-PRDS-000745,2018/04/03 00:00:00,2018/04/03 00:00:00,2018/04/03 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010376522,0010376522-PRDS-000745,2018/05/15 00:00:00,2018/05/15 00:00:00,2018/05/15 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010392291,0010392291-PRDS-000745,2018/05/22 00:00:00,2018/05/22 00:00:00,2018/05/22 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000616,0010392296,0010392296-PRDS-000616,2018/05/25 00:00:00,2018/05/25 00:00:00,2018/05/25 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010397175,0010397175-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010408213,0010408213-PRDS-000745,2018/05/29 00:00:00,2018/05/29 00:00:00,2018/05/29 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010404297,0010404297-PRDS-000745,2018/07/18 00:00:00,2018/07/18 00:00:00,2018/07/18 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010408402,0010408402-PRDS-000745,2018/07/24 00:00:00,2018/07/24 00:00:00,2018/07/24 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010409909,0010409909-PRDS-000745,2018/08/21 00:00:00,2018/08/21 00:00:00,2018/08/21 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Bacterial Endotoxins,PRDS-000745,0010413834,0010413834-PRDS-000745,2018/08/23 00:00:00,2018/08/23 00:00:00,2018/08/23 00:00:00,.,<0.4000,0.4,EU/mL,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010147538,0010147538-PRDS-000745,2012/10/17 00:00:00,2012/10/17 00:00:00,2012/10/17 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010147537,0010147537-PRDS-000745,2012/10/17 00:00:00,2012/10/17 00:00:00,2012/10/17 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010147841,0010147841-PRDS-000616,2012/10/19 00:00:00,2012/10/19 00:00:00,2012/10/19 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010147840,0010147840-PRDS-000616,2012/10/19 00:00:00,2012/10/19 00:00:00,2012/10/19 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150547,0010150547-PRDS-000745,2012/11/27 00:00:00,2012/11/27 00:00:00,2012/11/27 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150546,0010150546-PRDS-000745,2012/11/27 00:00:00,2012/11/27 00:00:00,2012/11/27 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150548,0010150548-PRDS-000745,2012/12/04 00:00:00,2012/12/04 00:00:00,2012/12/04 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150549,0010150549-PRDS-000745,2012/12/04 00:00:00,2012/12/04 00:00:00,2012/12/04 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150551,0010150551-PRDS-000745,2012/12/07 00:00:00,2012/12/07 00:00:00,2012/12/07 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150550,0010150550-PRDS-000745,2012/12/07 00:00:00,2012/12/07 00:00:00,2012/12/07 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010150552,0010150552-PRDS-000745,2012/12/12 00:00:00,2012/12/12 00:00:00,2012/12/12 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010254676,0010254676-PRDS-000745,2015/08/21 00:00:00,2015/08/21 00:00:00,2015/08/21 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010267008,0010267008-PRDS-000745,2015/11/11 00:00:00,2015/11/11 00:00:00,2015/11/11 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010267863,0010267863-PRDS-000745,2015/11/17 00:00:00,2015/11/17 00:00:00,2015/11/17 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010266787,0010266787-PRDS-000745,2015/12/15 00:00:00,2015/12/15 00:00:00,2015/12/15 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010275388,0010275388-PRDS-000616,2016/02/10 00:00:00,2016/02/10 00:00:00,2016/02/10 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010281727,0010281727-PRDS-000616,2016/03/03 00:00:00,2016/03/03 00:00:00,2016/03/03 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010275389,0010275389-PRDS-000616,2016/03/08 00:00:00,2016/03/08 00:00:00,2016/03/08 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010343353,0010343353-PRDS-000745,2017/08/10 00:00:00,2017/08/10 00:00:00,2017/08/10 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010343359,0010343359-PRDS-000745,2017/08/17 00:00:00,2017/08/17 00:00:00,2017/08/17 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010343362,0010343362-PRDS-000745,2017/08/22 00:00:00,2017/08/22 00:00:00,2017/08/22 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010344654,0010344654-PRDS-000745,2017/08/24 00:00:00,2017/08/24 00:00:00,2017/08/24 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010347552,0010347552-PRDS-000745,2017/11/02 00:00:00,2017/11/02 00:00:00,2017/11/02 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000745,0010358270,0010358270-PRDS-000745,2017/11/07 00:00:00,2017/11/07 00:00:00,2017/11/07 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Identity by Product ELISA,PRDS-000616,0010364494,0010364494-PRDS-000616,2018/01/27 00:00:00,2018/01/27 00:00:00,2018/01/27 00:00:00,.,Positive Identity,0,.,.,.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
